Title,Date
This Is My Love,8/4/20
The Rise of Phoenixes,4/6/21
Theeram,2/9/21
This Is My Love,12/15/22
Theeram,7/2/21
Premachi Goshta,5/9/21
Theeram,11/6/20
This Is My Love,9/1/20
Age Gap Love,7/8/21
Who's the One,2/6/21
The Exception,4/2/21
Teresa,4/19/21
Theeram,10/16/21
Theeram,12/12/21
Zindagi Gulzar Hai,11/9/22
This Is My Love,3/15/21
Who's the One,5/4/22
Raising Victor Vargas,6/18/22
Theeram,9/6/20
Revolutionary Road,12/20/22
Theeram,7/1/22
Revolutionary Road,4/4/22
Premachi Goshta,1/2/21
Theeram,2/11/20
Premachi Goshta,3/15/20
The Ugly Truth,10/8/21
Pierre Jackson,10/1/21
Wrong No.,5/10/21
Rubi,7/6/20
Wrong No.,11/17/21
Zindagi Gulzar Hai,10/14/20
Yaadein,11/16/21
Zindagi Gulzar Hai,10/19/21
A Holiday Engagement,11/16/21
Twilight,11/12/20
Christmas in the Smokies,9/13/22
Being Mary Jane: The Series,12/6/21
Beauty & the Beast,2/1/22
Up in the Air,12/2/21
Being Mary Jane: The Series,8/17/21
Wrong No.,8/8/20
Lolita,11/11/22
Zindagi Gulzar Hai,1/10/22
Who's the One,10/18/22
A Very Country Christmas,7/20/20
The Ugly Truth,8/12/21
Zindagi Gulzar Hai,6/8/21
Wrong No.,11/17/21
The Exception,4/10/22
The Exception,9/4/22
The Bounty Hunter,11/11/21
Two Lovers and a Bear,8/9/21
Wrong No.,9/7/20
You Can’t Fight Christmas,12/4/22
Zindagi Gulzar Hai,8/11/21
Theeram,1/18/20
Back with the Ex,5/6/20
The Exception,4/18/21
The New Romantic,3/16/20
Who's the One,12/20/20
The Ugly Truth,6/6/20
Theeram,7/6/20
Westside Story,12/20/21
Who's the One,8/15/21
Premachi Goshta,6/10/22
Outlander,11/14/22
Zindagi Gulzar Hai,8/10/20
The Exception,11/11/22
Wrong No.,4/2/21
Theeram,8/13/21
Wrong No.,5/17/21
Teresa,10/13/21
Adrift,8/5/21
Zindagi Gulzar Hai,1/19/22
Karzzzz,5/14/22
Zindagi Gulzar Hai,10/20/20
Yes or No 2.5,7/17/22
Revolutionary Road,10/12/21
Who's the One,4/12/20
The Ugly Truth,3/9/22
This Is My Love,1/16/20
Zindagi Gulzar Hai,4/7/22
Tamanchey,6/12/20
Theeram,5/11/22
Theeram,6/7/20
The Ugly Truth,7/17/22
Zindagi Gulzar Hai,12/1/20
Hot Date,12/18/22
This Is My Love,9/8/21
Who's the One,8/17/22
Wrong No.,1/8/20
You Can’t Fight Christmas,6/11/21
Theeram,10/16/22
Theeram,7/18/22
Theeram,3/5/20
Zindagi Gulzar Hai,11/13/21
Zindagi Gulzar Hai,9/3/22
Wrong No.,12/12/20
Teresa,1/20/21
Revolutionary Road,9/13/21
Wrong No.,9/8/21
Theeram,1/16/20
Carol,5/6/21
Dramaworld,6/8/22
The Good Catholic,1/11/20
Who's the One,8/4/21
Dramaworld,4/14/21
Wrong No.,7/10/20
Vampire Knight,10/16/22
Revolutionary Road,12/4/22
Wrong No.,4/18/21
Socha Na Tha,4/12/20
The Year of Happiness and Love,3/7/21
El Clon,12/19/22
Socha Na Tha,9/2/20
Last Tango in Halifax,5/8/22
Two Lovers and a Bear,1/1/20
You Can’t Fight Christmas,3/20/21
The Ugly Truth,5/8/20
Zindagi Gulzar Hai,2/14/20
Two Lovers and a Bear,2/9/21
Who's the One,1/9/21
Who's the One,9/10/20
Zindagi Gulzar Hai,7/12/22
The Ugly Truth,12/9/20
Who's the One,5/3/20
This Is My Love,11/14/21
Wrong No.,10/10/22
Who's the One,9/19/22
The Year of Happiness and Love,2/5/20
Who's the One,10/10/20
Zindagi Gulzar Hai,7/1/22
Theeram,3/17/21
Who's the One,8/6/20
This Is My Love,5/9/22
Wrong No.,9/4/21
The Exception,10/13/21
Wrong No.,12/3/22
Zindagi Gulzar Hai,11/17/20
Zindagi Gulzar Hai,11/20/20
Teresa,10/8/20
Yes or No 2.5,11/12/22
Who's the One,8/8/22
Two Lovers and a Bear,12/9/22
Wrong No.,10/19/21
Who's the One,11/19/20
Wrong No.,2/2/20
Revolutionary Road,11/2/21
The Exception,8/2/21
Zindagi Gulzar Hai,7/12/20
